,Apolitical,Elapsed Time (s) at start of slide,Political,Elapsed Time (s) at start of slide
Blank Screen,60,0,60,0
Video 1.1,33,60,41,60
Blank Screen,60,93,60,101
Video 1.2,34,153,33,161
Blank Screen,60,187,60,194
Video 1.3,23,247,36,254
Blank Screen,60,270,60,290
Total Time Elapsed (s),330,,350,
Relax Slide,30,330,30,350
Blank Screen,60,360,60,380
Video 2.1,41,420,33,440
Blank Screen,60,461,60,473
Video 2.2,33,521,34,533
Blank Screen,60,554,60,567
Video 2.3,36,614,23,627
Blank Screen,60,650,60,650
Total Time Elapsed (s),710,,710,
Discussion Slide,20,710,20,710
Discussant Slide,20,730,20,730
Topics Slide,150,750,150,750
Total Time Elapsed (s),900,,900,
